epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	4.45656681060791	0.0	0.0	0.1
1	2	2	4.4023823738098145	0.0	3.125	0.1
1	3	3	4.371731758117676	0.0	9.375	0.1
1	4	4	4.3939409255981445	0.0	6.25	0.1
1	5	5	4.39633321762085	0.0	9.375	0.1
1	6	6	4.506467342376709	0.0	0.0	0.1
1	7	7	4.535489082336426	3.125	9.375	0.1
1	8	8	4.5428547859191895	0.0	3.125	0.1
1	9	9	4.406933784484863	0.0	6.25	0.1
1	10	10	4.495173454284668	3.125	9.375	0.1
1	11	11	4.490333557128906	3.125	9.375	0.1
1	12	12	4.385690212249756	0.0	6.25	0.1
1	13	13	4.5378828048706055	3.125	6.25	0.1
1	14	14	4.698186874389648	0.0	0.0	0.1
1	15	15	4.490360260009766	0.0	3.125	0.1
1	16	16	4.5842742919921875	0.0	0.0	0.1
1	17	17	4.477392196655273	0.0	9.375	0.1
1	18	18	4.482336044311523	0.0	9.375	0.1
1	19	19	4.606319427490234	0.0	6.25	0.1
1	20	20	4.552412986755371	0.0	0.0	0.1
1	21	21	4.470259666442871	3.125	6.25	0.1
1	22	22	4.55873441696167	0.0	0.0	0.1
1	23	23	4.429358959197998	0.0	6.25	0.1
1	24	24	4.510659217834473	0.0	3.125	0.1
1	25	25	4.4601054191589355	3.125	6.25	0.1
1	26	26	4.36558723449707	6.25	6.25	0.1
1	27	27	4.461236476898193	0.0	3.125	0.1
1	28	28	4.472445487976074	0.0	3.125	0.1
1	29	29	4.3526997566223145	0.0	9.375	0.1
1	30	30	4.49614143371582	3.125	6.25	0.1
1	31	31	4.505386829376221	0.0	0.0	0.1
1	32	32	4.379627704620361	0.0	3.125	0.1
1	33	33	4.427515029907227	0.0	3.125	0.1
1	34	34	4.409766674041748	0.0	6.25	0.1
1	35	35	4.456501483917236	3.125	3.125	0.1
1	36	36	4.384463310241699	0.0	6.25	0.1
1	37	37	4.383362293243408	0.0	6.25	0.1
1	38	38	4.4223833084106445	0.0	0.0	0.1
1	39	39	4.500187397003174	0.0	0.0	0.1
1	40	40	4.4394145011901855	0.0	0.0	0.1
1	41	41	4.46595573425293	0.0	0.0	0.1
1	42	42	4.417819023132324	0.0	3.125	0.1
1	43	43	4.397967338562012	3.125	9.375	0.1
1	44	44	4.465948581695557	0.0	0.0	0.1
2	1	45	4.3432464599609375	0.0	3.125	0.1
2	2	46	4.378001689910889	0.0	0.0	0.1
2	3	47	4.341277599334717	0.0	3.125	0.1
2	4	48	4.347099781036377	0.0	12.5	0.1
2	5	49	4.274544715881348	3.125	6.25	0.1
2	6	50	4.352659225463867	9.375	15.625	0.1
2	7	51	4.341720104217529	0.0	12.5	0.1
2	8	52	4.408442974090576	0.0	6.25	0.1
2	9	53	4.335055828094482	0.0	9.375	0.1
2	10	54	4.331981182098389	0.0	9.375	0.1
2	11	55	4.344737529754639	0.0	6.25	0.1
2	12	56	4.392934322357178	0.0	0.0	0.1
2	13	57	4.405166149139404	0.0	0.0	0.1
2	14	58	4.366888999938965	0.0	0.0	0.1
2	15	59	4.41738748550415	3.125	6.25	0.1
2	16	60	4.320724010467529	3.125	6.25	0.1
2	17	61	4.329509735107422	0.0	9.375	0.1
2	18	62	4.420590400695801	0.0	0.0	0.1
2	19	63	4.34435510635376	3.125	9.375	0.1
2	20	64	4.419916152954102	0.0	3.125	0.1
2	21	65	4.4043097496032715	3.125	3.125	0.1
2	22	66	4.407036781311035	0.0	0.0	0.1
2	23	67	4.368563175201416	6.25	15.625	0.1
2	24	68	4.381542205810547	0.0	3.125	0.1
2	25	69	4.356930732727051	0.0	6.25	0.1
2	26	70	4.408491134643555	0.0	0.0	0.1
2	27	71	4.386478900909424	0.0	0.0	0.1
2	28	72	4.372945308685303	0.0	0.0	0.1
2	29	73	4.381706714630127	0.0	6.25	0.1
2	30	74	4.380028247833252	3.125	6.25	0.1
2	31	75	4.410410404205322	3.125	3.125	0.1
2	32	76	4.4122724533081055	0.0	6.25	0.1
2	33	77	4.398963451385498	0.0	0.0	0.1
2	34	78	4.418187141418457	0.0	6.25	0.1
2	35	79	4.431511878967285	0.0	3.125	0.1
2	36	80	4.413301467895508	0.0	0.0	0.1
2	37	81	4.4175262451171875	0.0	3.125	0.1
2	38	82	4.4267988204956055	0.0	0.0	0.1
2	39	83	4.42577600479126	0.0	3.125	0.1
2	40	84	4.41961669921875	0.0	0.0	0.1
2	41	85	4.410019874572754	0.0	6.25	0.1
2	42	86	4.401275634765625	0.0	3.125	0.1
2	43	87	4.402651309967041	0.0	0.0	0.1
2	44	88	4.355473518371582	0.0	20.0	0.1
3	1	89	4.313834190368652	9.375	18.75	0.1
3	2	90	4.354138374328613	0.0	3.125	0.1
3	3	91	4.345310211181641	0.0	6.25	0.1
3	4	92	4.326433181762695	3.125	9.375	0.1
3	5	93	4.308259963989258	0.0	9.375	0.1
3	6	94	4.32802677154541	0.0	15.625	0.1
3	7	95	4.325472831726074	0.0	6.25	0.1
3	8	96	4.346696376800537	0.0	6.25	0.1
3	9	97	4.356226444244385	0.0	9.375	0.1
3	10	98	4.376300811767578	0.0	3.125	0.1
3	11	99	4.305873870849609	0.0	9.375	0.1
3	12	100	4.348594665527344	0.0	15.625	0.1
3	13	101	4.311618804931641	3.125	9.375	0.1
3	14	102	4.403172016143799	0.0	6.25	0.1
3	15	103	4.278940200805664	0.0	6.25	0.1
3	16	104	4.415466785430908	0.0	6.25	0.1
3	17	105	4.36409854888916	0.0	3.125	0.1
3	18	106	4.436542510986328	0.0	0.0	0.1
3	19	107	4.318946838378906	0.0	6.25	0.1
3	20	108	4.402055263519287	0.0	6.25	0.1
3	21	109	4.415476322174072	0.0	0.0	0.1
3	22	110	4.3867363929748535	0.0	3.125	0.1
3	23	111	4.3791656494140625	0.0	0.0	0.1
3	24	112	4.354511260986328	9.375	15.625	0.1
3	25	113	4.4304633140563965	0.0	6.25	0.1
3	26	114	4.4027276039123535	0.0	3.125	0.1
3	27	115	4.384973049163818	3.125	9.375	0.1
3	28	116	4.3797221183776855	0.0	3.125	0.1
3	29	117	4.441064357757568	0.0	0.0	0.1
3	30	118	4.419544696807861	0.0	3.125	0.1
3	31	119	4.423717975616455	0.0	0.0	0.1
3	32	120	4.404708385467529	3.125	6.25	0.1
3	33	121	4.393772602081299	0.0	3.125	0.1
3	34	122	4.459536552429199	0.0	0.0	0.1
3	35	123	4.401316165924072	3.125	6.25	0.1
3	36	124	4.452866077423096	0.0	0.0	0.1
3	37	125	4.398087501525879	0.0	3.125	0.1
3	38	126	4.408258438110352	0.0	0.0	0.1
3	39	127	4.4068779945373535	3.125	3.125	0.1
3	40	128	4.407416343688965	0.0	0.0	0.1
3	41	129	4.406785488128662	0.0	0.0	0.1
3	42	130	4.426210403442383	0.0	0.0	0.1
3	43	131	4.404204368591309	0.0	6.25	0.1
3	44	132	4.3630242347717285	0.0	0.0	0.1
4	1	133	4.324492931365967	0.0	6.25	0.1
4	2	134	4.309969425201416	3.125	15.625	0.1
4	3	135	4.328739643096924	0.0	12.5	0.1
4	4	136	4.260210037231445	3.125	28.125	0.1
4	5	137	4.335573673248291	6.25	12.5	0.1
4	6	138	4.349390506744385	3.125	9.375	0.1
4	7	139	4.342187404632568	3.125	6.25	0.1
4	8	140	4.3399739265441895	3.125	6.25	0.1
4	9	141	4.301784038543701	0.0	9.375	0.1
4	10	142	4.346077919006348	0.0	6.25	0.1
4	11	143	4.340240001678467	3.125	9.375	0.1
4	12	144	4.400466442108154	0.0	3.125	0.1
4	13	145	4.345005035400391	6.25	18.75	0.1
4	14	146	4.356949806213379	0.0	9.375	0.1
4	15	147	4.3566179275512695	3.125	9.375	0.1
4	16	148	4.374479293823242	6.25	9.375	0.1
4	17	149	4.373986721038818	0.0	0.0	0.1
4	18	150	4.375378131866455	0.0	6.25	0.1
4	19	151	4.32327938079834	3.125	9.375	0.1
4	20	152	4.433366775512695	0.0	0.0	0.1
4	21	153	4.422435760498047	0.0	0.0	0.1
4	22	154	4.392581939697266	0.0	3.125	0.1
4	23	155	4.344913959503174	0.0	6.25	0.1
4	24	156	4.343723297119141	0.0	9.375	0.1
4	25	157	4.330569744110107	0.0	9.375	0.1
4	26	158	4.34812593460083	3.125	6.25	0.1
4	27	159	4.390326023101807	0.0	3.125	0.1
4	28	160	4.38511323928833	0.0	9.375	0.1
4	29	161	4.40568208694458	0.0	3.125	0.1
4	30	162	4.365987777709961	0.0	6.25	0.1
4	31	163	4.347928524017334	0.0	6.25	0.1
4	32	164	4.326653480529785	0.0	6.25	0.1
4	33	165	4.344485282897949	0.0	6.25	0.1
4	34	166	4.409893989562988	0.0	0.0	0.1
4	35	167	4.392910480499268	0.0	3.125	0.1
4	36	168	4.388258934020996	0.0	9.375	0.1
4	37	169	4.415363311767578	0.0	3.125	0.1
4	38	170	4.389142990112305	3.125	3.125	0.1
4	39	171	4.402135848999023	0.0	3.125	0.1
4	40	172	4.386551856994629	3.125	6.25	0.1
4	41	173	4.435476779937744	0.0	0.0	0.1
4	42	174	4.4156999588012695	0.0	3.125	0.1
4	43	175	4.421138286590576	0.0	3.125	0.1
4	44	176	4.353835582733154	0.0	0.0	0.1
5	1	177	4.311052322387695	0.0	6.25	0.1
5	2	178	4.294125556945801	0.0	9.375	0.1
5	3	179	4.350272178649902	3.125	6.25	0.1
5	4	180	4.319808006286621	3.125	6.25	0.1
5	5	181	4.325651168823242	3.125	9.375	0.1
5	6	182	4.325472354888916	0.0	12.5	0.1
5	7	183	4.306361675262451	3.125	6.25	0.1
5	8	184	4.381145000457764	0.0	0.0	0.1
5	9	185	4.37096643447876	0.0	3.125	0.1
5	10	186	4.358767986297607	0.0	6.25	0.1
5	11	187	4.342525959014893	3.125	15.625	0.1
5	12	188	4.36676025390625	0.0	0.0	0.1
5	13	189	4.323457717895508	0.0	9.375	0.1
5	14	190	4.375608921051025	0.0	6.25	0.1
5	15	191	4.411489486694336	0.0	0.0	0.1
5	16	192	4.332087516784668	0.0	6.25	0.1
5	17	193	4.359461784362793	0.0	0.0	0.1
5	18	194	4.377583980560303	3.125	3.125	0.1
5	19	195	4.308335304260254	0.0	12.5	0.1
5	20	196	4.331187725067139	3.125	9.375	0.1
5	21	197	4.313273906707764	3.125	15.625	0.1
5	22	198	4.373842716217041	0.0	6.25	0.1
5	23	199	4.310984134674072	3.125	9.375	0.1
5	24	200	4.392258644104004	0.0	6.25	0.1
5	25	201	4.332087516784668	3.125	12.5	0.1
5	26	202	4.368894100189209	3.125	12.5	0.1
5	27	203	4.425384521484375	3.125	3.125	0.1
5	28	204	4.378229141235352	3.125	3.125	0.1
5	29	205	4.472445487976074	0.0	0.0	0.1
5	30	206	4.462719917297363	0.0	0.0	0.1
5	31	207	4.356314182281494	3.125	3.125	0.1
5	32	208	4.437094211578369	0.0	3.125	0.1
5	33	209	4.390478134155273	3.125	6.25	0.1
5	34	210	4.391013145446777	3.125	3.125	0.1
5	35	211	4.388590335845947	0.0	0.0	0.1
5	36	212	4.383477687835693	0.0	3.125	0.1
5	37	213	4.383028507232666	0.0	9.375	0.1
5	38	214	4.409046649932861	0.0	9.375	0.1
5	39	215	4.39563512802124	0.0	3.125	0.1
5	40	216	4.390152931213379	0.0	6.25	0.1
5	41	217	4.41202974319458	0.0	0.0	0.1
5	42	218	4.3639750480651855	0.0	3.125	0.1
5	43	219	4.379868030548096	0.0	0.0	0.1
5	44	220	4.333967685699463	0.0	0.0	0.1
6	1	221	4.343833923339844	0.0	6.25	0.1
6	2	222	4.307866096496582	0.0	3.125	0.1
6	3	223	4.335508346557617	0.0	3.125	0.1
6	4	224	4.274514198303223	0.0	6.25	0.1
6	5	225	4.276589870452881	3.125	6.25	0.1
6	6	226	4.333302021026611	0.0	12.5	0.1
6	7	227	4.299435615539551	0.0	9.375	0.1
6	8	228	4.326636791229248	0.0	6.25	0.1
6	9	229	4.339262962341309	0.0	6.25	0.1
6	10	230	4.3228583335876465	0.0	6.25	0.1
6	11	231	4.369279384613037	0.0	6.25	0.1
6	12	232	4.299607753753662	0.0	12.5	0.1
6	13	233	4.354565620422363	0.0	9.375	0.1
6	14	234	4.309948444366455	3.125	12.5	0.1
6	15	235	4.36236572265625	0.0	0.0	0.1
6	16	236	4.307231903076172	0.0	12.5	0.1
6	17	237	4.338895797729492	0.0	0.0	0.1
6	18	238	4.296368598937988	0.0	15.625	0.1
6	19	239	4.354073524475098	3.125	6.25	0.1
6	20	240	4.327780723571777	0.0	9.375	0.1
6	21	241	4.494573593139648	3.125	3.125	0.1
6	22	242	4.308804988861084	3.125	9.375	0.1
6	23	243	4.28922176361084	6.25	15.625	0.1
6	24	244	4.347005367279053	0.0	9.375	0.1
6	25	245	4.403722286224365	3.125	3.125	0.1
6	26	246	4.378968715667725	0.0	9.375	0.1
6	27	247	4.396163463592529	0.0	0.0	0.1
6	28	248	4.371197700500488	0.0	0.0	0.1
6	29	249	4.375523567199707	0.0	3.125	0.1
6	30	250	4.396361827850342	0.0	6.25	0.1
6	31	251	4.310328483581543	0.0	12.5	0.1
6	32	252	4.382270336151123	0.0	0.0	0.1
6	33	253	4.363433837890625	0.0	0.0	0.1
6	34	254	4.415701866149902	3.125	9.375	0.1
6	35	255	4.305261135101318	3.125	12.5	0.1
6	36	256	4.425602912902832	0.0	0.0	0.1
6	37	257	4.35522985458374	3.125	6.25	0.1
6	38	258	4.344375133514404	0.0	3.125	0.1
6	39	259	4.34973669052124	0.0	12.5	0.1
6	40	260	4.400327682495117	0.0	3.125	0.1
6	41	261	4.384406089782715	0.0	3.125	0.1
6	42	262	4.365660667419434	3.125	9.375	0.1
6	43	263	4.411035060882568	0.0	3.125	0.1
6	44	264	4.38877010345459	0.0	0.0	0.1
7	1	265	4.30242919921875	3.125	12.5	0.1
7	2	266	4.309992790222168	3.125	15.625	0.1
7	3	267	4.318371772766113	0.0	9.375	0.1
7	4	268	4.241351127624512	6.25	15.625	0.1
7	5	269	4.285017967224121	6.25	18.75	0.1
7	6	270	4.311267852783203	6.25	9.375	0.1
7	7	271	4.332006931304932	0.0	3.125	0.1
7	8	272	4.286642074584961	0.0	12.5	0.1
7	9	273	4.346327781677246	3.125	6.25	0.1
7	10	274	4.32820987701416	0.0	9.375	0.1
7	11	275	4.355188846588135	0.0	6.25	0.1
7	12	276	4.343652725219727	3.125	3.125	0.1
7	13	277	4.323956489562988	0.0	6.25	0.1
7	14	278	4.328520774841309	0.0	0.0	0.1
7	15	279	4.330362796783447	0.0	6.25	0.1
7	16	280	4.3511481285095215	0.0	3.125	0.1
7	17	281	4.362740516662598	0.0	3.125	0.1
7	18	282	4.28996467590332	0.0	18.75	0.1
