epoch	loss	prec1	prec5	lr
1	4.464669704437256	0.7965242862701416	4.561911582946777	0.1
2	4.3825201988220215	0.8689355850219727	4.561911582946777	0.1
3	4.380266189575195	0.8689355850219727	5.286024570465088	0.1
4	4.365614891052246	1.230992078781128	6.879073143005371	0.1
5	4.366924285888672	1.1585807800292969	5.720492362976074	0.1
6	4.350252628326416	0.8689355850219727	6.589427947998047	0.1
7	4.343235015869141	1.448225975036621	6.806662082672119	0.1
8	4.325145244598389	1.448225975036621	7.748008728027344	0.1
9	4.310296058654785	2.606806755065918	9.051411628723145	0.1
10	4.292242050170898	3.1136858463287354	10.282403945922852	0.1
11	4.276483058929443	2.0999276638031006	11.803041458129883	0.1
12	4.2376389503479	1.8826936483383179	12.81679916381836	0.1
13	4.191349506378174	3.1136858463287354	13.975379943847656	0.1
14	4.147069454193115	3.982621192932129	15.568428993225098	0.1
15	4.069819927215576	4.055032730102539	20.130340576171875	0.1
16	4.01898717880249	4.7067341804504395	20.709630966186523	0.1
17	3.9252188205718994	5.50325870513916	24.257783889770508	0.1
18	3.8671913146972656	6.517016887664795	25.48877716064453	0.1
19	3.7483303546905518	8.037653923034668	29.9782772064209	0.1
20	3.650456666946411	10.354815483093262	33.6712532043457	0.1
21	3.5668892860412598	10.137581825256348	36.92975997924805	0.1
22	3.4689276218414307	12.237508773803711	39.97103500366211	0.1
23	3.363520383834839	14.33743667602539	46.19840621948242	0.1
24	3.271556854248047	16.002897262573242	48.58797836303711	0.1
25	3.1570422649383545	18.10282325744629	51.12237548828125	0.1
26	3.058938503265381	19.478639602661133	52.78783416748047	0.1
27	2.927703619003296	22.809558868408203	59.9565544128418	0.1
28	2.86806583404541	23.24402618408203	59.160030364990234	0.1
29	2.781558036804199	27.661115646362305	62.056480407714844	0.1
30	2.701472759246826	27.00941276550293	64.30123138427734	0.1
31	2.5757434368133545	29.9782772064209	68.13903045654297	0.1
32	2.476090431213379	33.59884262084961	70.31137084960938	0.1
33	2.4895823001861572	31.426502227783203	69.87689971923828	0.1
34	2.4195680618286133	33.236785888671875	73.06299591064453	0.1
35	2.341887950897217	35.11948013305664	73.7146987915039	0.1
36	2.1881487369537354	39.75380325317383	75.9594497680664	0.1
37	2.155149459838867	40.47791290283203	77.98696899414062	0.1
38	1.8200654983520508	54.09123992919922	85.95220947265625	0.010000000000000002
39	1.725704550743103	57.27733612060547	88.48660278320312	0.010000000000000002
40	1.6662732362747192	61.47719192504883	90.44171142578125	0.010000000000000002
41	1.6657739877700806	60.97031021118164	90.87617492675781	0.010000000000000002
42	1.6510429382324219	61.042724609375	89.71759796142578	0.010000000000000002
43	1.634230375289917	61.622013092041016	89.71759796142578	0.010000000000000002
44	1.5761184692382812	63.07024002075195	92.39681243896484	0.010000000000000002
45	1.5732975006103516	63.07024002075195	90.65894317626953	0.010000000000000002
46	1.583545207977295	63.21506118774414	91.383056640625	0.010000000000000002
47	1.5294257402420044	64.88052368164062	91.52787780761719	0.010000000000000002
48	1.5479416847229004	62.635772705078125	92.10717010498047	0.010000000000000002
49	1.5109951496124268	66.9804458618164	91.88993835449219	0.010000000000000002
50	1.4993019104003906	65.170166015625	93.5553970336914	0.010000000000000002
51	1.4781010150909424	65.5322265625	93.2657470703125	0.010000000000000002
52	1.4765510559082031	65.89427947998047	92.54163360595703	0.010000000000000002
53	1.4635350704193115	66.03910064697266	92.75887298583984	0.010000000000000002
54	1.4217557907104492	67.05286407470703	93.5553970336914	0.010000000000000002
55	1.42244553565979	68.64591217041016	92.83128356933594	0.010000000000000002
56	1.4202505350112915	68.13903045654297	92.90369415283203	0.010000000000000002
57	1.3977270126342773	69.87689971923828	93.3381576538086	0.010000000000000002
58	1.3580529689788818	70.38378143310547	94.06227111816406	0.010000000000000002
59	1.3454434871673584	70.89065551757812	94.13468170166016	0.010000000000000002
60	1.339410424232483	70.23896026611328	93.98986053466797	0.010000000000000002
61	1.3170642852783203	70.96307373046875	93.98986053466797	0.010000000000000002
62	1.3285841941833496	71.25271606445312	93.7002182006836	0.010000000000000002
63	1.3275890350341797	67.70455932617188	94.06227111816406	0.010000000000000002
64	1.2833276987075806	71.6147689819336	94.49674224853516	0.010000000000000002
65	1.2908815145492554	71.4699478149414	94.71397399902344	0.010000000000000002
66	1.2591866254806519	73.93193054199219	94.27951049804688	0.010000000000000002
67	1.2228853702545166	73.13540649414062	95.8001480102539	0.010000000000000002
68	1.2133933305740356	72.91817474365234	95.72773742675781	0.010000000000000002
69	1.209425687789917	73.64228820800781	95.510498046875	0.010000000000000002
70	1.2012213468551636	74.80087280273438	95.07603454589844	0.010000000000000002
71	1.177388310432434	75.66980743408203	96.08979034423828	0.010000000000000002
